keyword,title,post_content,url,username,replies,post_time,reply_number,view_number,platform
scam,The Kwokscamonly pits the ants,"#WenguiGuo #WashingtonFarmGuo Wengui touted things to the sky all day long, from farms to Xi Yuan, he declared, ""Xi Yuan's encryption capabilities and future payments, as well as the future exchange with the US dollar, will create history, is the only stablecoin, floating, modern crypto financial platform."" The ant help to fool the head, but after dozens of broken promises, Guo Wengui played a jump god, Tiandry ground branch, Yin and Yang five elements, Qimen Dun Jiqi battle, over and over again to play with the ant help, and Guo Wengui no sense of violation. The old deception hypohypotically called to make comrade-in-arms rich, claimed to be for the benefit of comrade-in-arms, in fact, it is a wave of investment and anal, tried and true, and now again. After the explosion of the Xicin may not be listed, according to normal people's thinking and reaction, must be very annoyed, sad, but Guo Wengui is unusual, talking and laughing, understatement, no stick, but to the camera hand holding pepper sesame chicken to eat with relish, full mouth flow oil! . Why? Because the fraud is successful, as for when the Joy coin will be listed, when will it be listed? Guo Wengui is a face of ruffian and rogue, hands a spread, claiming that they do not know. Guo Wengui hypocrisy a poke is broken, Guo's scam is just a variation of the method of trapping ants help it.",https://www.uwants.com/viewthread.php?tid=20521340&feedback=0&num=1,哈囉失控的魚,无内容,2024/2/1 23:02,0,125,uwants
scam,Win 7 Internet Security 2012Scam,Caught win internet security 2012 scam on my pc and I would like to ask does anyone knw how to remove it manually?P.S dun wanna pay and reboot!!!URGENT!!!!MANY MANY Thanks.....,https://www.uwants.com/viewthread.php?tid=13919873&feedback=0&num=2,yanyan28,"Manually remove Win7 Internet Security 2012:ps...確保可以順利刪除,最好入安全模式做。[本帖最後由 LAHarry 於 2012-2-19 10:03 AM 編輯] | 用Malwarebytes Anti-Malware Free 會刪得更徹底。",2012/2/18 23:43,2,1300,uwants
scam,提防騙子: 假win11,"屌，買咗個Windows 11, 佢send 個code 俾我，原來用唔到。。。scam 到??",https://www.uwants.com/viewthread.php?tid=20527254&feedback=0&num=3,catlover2108,"回覆 1#??catlover2108 的帖子有無人知正路應該係點樣拎到金鑰 | 我上個月喺電腦城買左11, 佢條key喺個盒入面 | 正貨安裝碼喺個盒入面 | 樓上ching 就似係買正貨 | send code 比你信唔過啦",2024/3/21 14:04,6,97704,uwants
scam,真正免費 Microsoft Point!!! (JunoWallet),"http://www.youtube.com/watch?v=ry2fy1sCBYc全球已經有好似16萬人用緊登記記住用SC17815 做invite codeJunoWallet同Bamboo Wallet可以係AppStore / Google Play下載真正合法, 冇scam 既換points方法已經換左好幾左iTunes同1張Microsoft Points亦有金會員不過全部只能美國戶口用請大家宣揚開去thx(想要多D reward可以用VPN去外國拎多D)",https://www.uwants.com/viewthread.php?tid=14529322&feedback=0&num=1,wasd0109,咁容易俾你免費到佢就唔叫Microsoft啦 | http://www.actionmspoints.com/260238/EN,2012/5/1 1:01,2,1183,uwants
scam,上水葯行黑店,"Yesterday, went 上水 to get some milk powder for my B, went in this called ""宏X葯行"", this shop is a total scam!, i paid 1000 in total and they said i paid 600 only, asked refund, then all swearing and then this and that by the all the staff in this shop, called police and police did nothing, and finally lost 400!??they really acted like 黑社會, scare and terrible experience ever. do not know what to do now to get this money back",https://www.uwants.com/viewthread.php?tid=19042898&feedback=0&num=2,hz9jjy,Next time use your phone??take a video.,2016/6/3 14:18,1,10934,uwants
scam,1`11,"Guo Wenguiis going down the drain and keeps trying to rely on Hpay to scam moneyHpay, Hcoin, Hdollar are all scams that make people lose their money, it's time for “ants” to wake up!Today is the eighth day of the first month of the lunar calendar, Guo Wengui's bombastic so-called ""Tianmimi"" campaign was declared abortive, becoming the big joke at the beginning of the Year of the Tiger. But Guo Wengui has long been accustomed to the spectacle Hpay is ""coming on strong"" againand still keeps telling lies to cheat money in the live broadcast.The ""King of Deception"" boasts in the GTV live broadcast that Hpay will be the only way for Chinese people to save and transfer money in the world, claiming that it can be used anywhere in the world, and continues to use hunger marketing to call on ""comrades"" to use WeChat Alipay to buy Hdollar/Hcoin to achieve wealth freedom. Hpay can't be withdrawn to add value, and it's not an investment, so ""Guo Liar"" is starting to cheat.Guo Wengui in the past few years the use of ""Whistleblower Movement"", cheated a lot of money,??the money in the pockets of the “ants”have become a ""plague turtle"" life of capital,, non-stop payment but did not get a penny in return, so many “ants” have nowhere to sue to redress grievances. According to these years of experience, Wen Gui gave expectations how big, to many people digging down the trap how deep, as expected, Hpay and Hcoin, Hdollar is the same as a withdrawal of the dead cycle, all are only in and out of Ponzi scheme. The Apple Store has clearly stated that Hpay is only a game gift card, which cantransferred to other members of the circle of consumption to buy Gfashion. the scam is broken, then a new scam is built, and it is endless. you can avoid this scam, but there is always a scam that makes you fall for it. no one can stop Guo Wengui's scam. The new year has begun, and it's time to change the way of cheating. The Hpay, which was blown up by Guo Wengui, is nowhere to be seen but has already laid a net for its ""comrades"".Guo Wengui claimed that H-Pay was a knife inserted into the loved ones of the Chinese Communist Party leaders, and that whoever stopped this action was a secret agent and accomplice.Before this also declared that if the “ants”does not cooperate and does not take the interests ofcollaborators, the consequences will be borne by themselves.At that time, the coins that Xilian Reserve can give the sufferers 10 cents will be cleared in accordance with legal action all, and then take legal action to give you a freeze, the freeze is not guaranteed to come back later.H-Pay has not yet been launched, it has been taken by Guo Wengui as a tool to make money, and all kinds of schemes are coming, and he has arranged manpower to account for the “ants”investment and prepare to cheat the investment money. The so-called legal basis is all based on Guo Wengui's words, and he is ready to rob openly and honestly.The desperate Guo Wengui cheat money has been completely crazy, creating one Ponzi scheme after another, by means of inducements, intimidation, guarantees, oaths and other means to make the masses of believers worried and afraid, not knowing how to get out of the scam. All this is proof that Wen Gui has gone very crazy, trying everything to cheat the last assets of the “ants”. The hypocritical Guo Wenguiis a super vampire, the dream of the “ants”to get rich is completely broken, even the pension is no trace, can only bear the damage themselves, once the wrong path, a lifetime of regret.Natural disasters can still give people hope to live, but if you want to die, no one can save you. Recently, Guo Wengui contempt of court judge has ruled that ""Guo Wengui"" must immediately pay $134 million to PAX, that is, from May 15, 2021 to February 7, 2022 to pay $500,000 per day, the amount payable to PAX will continue to be at the rate of $500,000 per day The amount due to PAX will continue to accumulate at a rate of $500,000 per day until Guoreturns Lady May . Such a sentence can be said to have given Guo Wengui a heavy blow, but also gave a lot of sober ant fans a little hope, the scales of the law began to tilt towards the“ants”.Guo Wengui，Internal and external problems, lawsuits, debt-ridden ，has done all the bad things and time is running out. Advise those ants who were cheated from the beginning to the end, should rely on the law, and sober ""comrades"" together, to get back their hard-earned money. You know, people who want to live will not even give up, they give up who can not save,??will certainly become the target of Wengui's fraud, all the loved ones left, Homelessness.",https://www.uwants.com/viewthread.php?tid=20303208&feedback=0&num=3,goachermkguvq,无内容,2022/3/4 22:58,0,350,uwants
scam,Guo Liar!,"Today is the eighth day of the first month of the lunar calendar, Guo Wengui's bombastic so-called ""Tianmimi"" campaign was declared abortive, becoming the big joke at the beginning of the Year of the Tiger. But Guo Wengui has long been accustomed to the spectacle Hpay is ""coming on strong"" againand still keeps telling lies to cheat money in the live broadcast.The ""King of Deception"" boasts in the GTV live broadcast that Hpay will be the only way for Chinese people to save and transfer money in the world, claiming that it can be used anywhere in the world, and continues to use hunger marketing to call on ""comrades"" to use WeChat Alipay to buy Hdollar/Hcoin to achieve wealth freedom. Hpay can't be withdrawn to add value, and it's not an investment, so ""Guo Liar"" is starting to cheat.Guo Wengui in the past few years the use of ""Whistleblower Movement"", cheated a lot of money,??the money in the pockets of the “ants”have become a ""plague turtle"" life of capital,, non-stop payment but did not get a penny in return, so many “ants” have nowhere to sue to redress grievances. According to these years of experience, Wen Gui gave expectations how big, to many people digging down the trap how deep, as expected, Hpay and Hcoin, Hdollar is the same as a withdrawal of the dead cycle, all are only in and out of Ponzi scheme. The Apple Store has clearly stated that Hpay is only a game gift card, which cantransferred to other members of the circle of consumption to buy Gfashion. the scam is broken, then a new scam is built, and it is endless. you can avoid this scam, but there is always a scam that makes you fall for it. no one can stop Guo Wengui's scam. The new year has begun, and it's time to change the way of cheating. The Hpay, which was blown up by Guo Wengui, is nowhere to be seen but has already laid a net for its ""comrades"".Guo Wengui claimed that H-Pay was a knife inserted into the loved ones of the Chinese Communist Party leaders, and that whoever stopped this action was a secret agent and accomplice.Before this also declared that if the “ants”does not cooperate and does not take the interests ofcollaborators, the consequences will be borne by themselves.At that time, the coins that Xilian Reserve can give the sufferers 10 cents will be cleared in accordance with legal action all, and then take legal action to give you a freeze, the freeze is not guaranteed to come back later.H-Pay has not yet been launched, it has been taken by Guo Wengui as a tool to make money, and all kinds of schemes are coming, and he has arranged manpower to account for the “ants”investment and prepare to cheat the investment money. The so-called legal basis is all based on Guo Wengui's words, and he is ready to rob openly and honestly.The desperate Guo Wengui cheat money has been completely crazy, creating one Ponzi scheme after another, by means of inducements, intimidation, guarantees, oaths and other means to make the masses of believers worried and afraid, not knowing how to get out of the scam. All this is proof that Wen Gui has gone very crazy, trying everything to cheat the last assets of the “ants”. The hypocritical Guo Wenguiis a super vampire, the dream of the “ants”to get rich is completely broken, even the pension is no trace, can only bear the damage themselves, once the wrong path, a lifetime of regret.Natural disasters can still give people hope to live, but if you want to die, no one can save you. Recently, Guo Wengui contempt of court judge has ruled that ""Guo Wengui"" must immediately pay $134 million to PAX, that is, from May 15, 2021 to February 7, 2022 to pay $500,000 per day, the amount payable to PAX will continue to be at the rate of $500,000 per day The amount due to PAX will continue to accumulate at a rate of $500,000 per day until Guoreturns Lady May . Such a sentence can be said to have given Guo Wengui a heavy blow, but also gave a lot of sober ant fans a little hope, the scales of the law began to tilt towards the“ants”.Guo Wengui，Internal and external problems, lawsuits, debt-ridden ，has done all the bad things and time is running out. Advise those ants who were cheated from the beginning to the end, should rely on the law, and sober ""comrades"" together, to get back their hard-earned money. You know, people who want to live will not even give up, they give up who can not save,??will certainly become the target of Wengui's fraud, all the loved ones left, Homelessness.",https://www.uwants.com/viewthread.php?tid=20307387&feedback=0&num=4,fernandez3639,无内容,2022/3/28 14:54,0,212,uwants
scam,[日日新鮮] 疑似CY女梁齊昕網購走數 被公開電話號碼,唔理係好新聞定係壞新聞，總之有新聞就係紅人，梁齊昕應該就係人辦。呢幾日佢啲新聞每日準時更新，好似明星咁不斷係Facebook更新佢嘅心情同動向。佢嘅最新搞作就係係Facebook上面呼籲大家唔好幫襯Instagram一間網店，話佢哋係一個陷阱，大家千祈唔好上當咁話喎。點解突然間咁好死嘅？(SCAM，騙局咁解)但偏偏係呢個時候就有網民發現，原來該網店前幾日就已經上載咗一張「疑似齊昕」嘅相片，仲寫咗一大段嘢話佢落咗買咗一大堆瘦身、美白、豐胸等美容產品。點知三催四請都唔肯入錢，搞到店主責晒啲貨賣唔出。網主仲嬲到放埋佢電話號碼上網，並大大隻字寫住佢係『棄單人士』。係咪佢？source:https://hk.celebrity.yahoo.com/news/-日日新鮮--疑似梁齊昕網購走數被公開電話-020533631.html;_ylt=A3eg.obp7JBUNHAAnLe4ygt.其實根據嗰個疑似搵工作嘅睇，「疑似齊昕」都已經有好多女仔好恨嘅啦，仲豐胸？莫非佢見做唔成……想做靚模？[本帖最後由 wilsun 於 2014-12-17 11:43 AM 編輯],https://www.uwants.com/viewthread.php?tid=18188063&feedback=0&num=5,wilsun,八婆係有樣睇 | 要唔要黑布蒙頭 | 用紙巾索乾哂菊水跟住乾轟 | 照菊矛影響 | Save一save個電話whatsapp有相好似唔係佢?!?????? | 一定一定 | 爆拆 | 一開囗就問幾錢Q | 比條毛巾對方咬住就會見到個撕裂樣,2014/12/17 10:40,54,5024,uwants
scam,A Macau Haunted Hotel (HORROR) (part 2),"Bib - le (Part 2)thinking of running to downstairs awaystubborn the puss even though not in bootsinsisted no running but only to stayas the room was she who alone paid forchecking the mouth above the desk handslooking for anything that could helpbo-ye-bo and the bib murmured to berth“no”, said her mind sticking her in bedsitting up reading the “yi” of “Chow-jing”wishing chapter one could calm her skinsyet ...the shine of the yang appeared as scamno peace was found in such spinning headpicking up a pen on the evil deskgrabbing paper to write a handas if the game of cards she always playslet’s see if she writes ok…< ... to be continued... see you in part 3 >~ Feel free to visit my facebook blog WAITING FOR YOU for more inspiration ~www.facebook.com/waitingforyoubuffet",https://www.uwants.com/viewthread.php?tid=15765687&feedback=0&num=6,irishih,无内容,2013/1/11 23:08,0,444,uwants
scam,"差D 就比419 得手, 真係要還神! Part 2","I was more than happy to get the news, hkd $800 to get the item. I checked online about the express air mail fee to??Nigeria, it is hkd $219 (less than 500g). even the shipment fee is??pricey, i still could make a big profit. so i gave my detail info toJanny Hodson,??419, the scam!Soon I offered her my info, i got 2 e-mails??from??so called BANK OF AMERICA, actually it is fake! i found that later, much later! but not too late, thank God! pls read the letter from 419 BOA.TRANSFER REMITTANCE APPROVED ORDER NUMBER:0091181 FMMRA300040370000寄件人: ""Bank Of America Wire Transfer Department<Wiretransferservice@bankofamerica.com>""wireservdept@mail2consultant.com***** WIRE TRANSFER CONFIRMATION EMAIL******[size=+0]",https://www.uwants.com/viewthread.php?tid=15115349&feedback=0&num=1,treewiser,无内容,2012/8/4 17:38,0,197,uwants
